chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.46054637,0.019600468,2963.8846867568536,3267.005971851831,5470.882196162047,0.07277160514392324,-367.0076,145.05531,-39.509342,9.740074,-29.49722,14.148895,-13.356194,-3.961368,-17.882566,-14.07411,-6.5378537,-9.973751,-1.4407396,-5.966642,-0.76376516,-11.182472,-3.16786,-5.512184,-4.245675,-9.684337,REAL
0.4662527,0.01427863,2683.911772980603,3257.335665622846,5035.9891391258,0.059365213552771856,-397.9741,148.78825,-29.725275,12.238016,-18.274546,8.690171,-12.813333,-5.8377585,-16.822842,-13.558291,-7.775922,-9.570081,-1.6291407,-5.858627,-0.050286658,-9.834495,-3.9722304,-5.2808595,-4.880746,-8.733951,REAL
0.48947427,0.009027567,3021.577717070742,3810.1893106493203,6278.326559168443,0.060115334321695094,-461.45007,137.25908,-10.90432,15.882215,-8.1585,8.46708,-8.495166,-4.6610317,-14.829853,-10.750052,-8.320246,-9.588968,-2.252445,-5.581845,-0.74725085,-7.970168,-3.6350248,-5.0404143,-4.510477,-7.1334667,REAL
0.48691136,0.009544742,3229.7181159541237,3864.640276047822,6606.7763859275055,0.06930678638059702,-461.58685,133.97969,-14.545082,24.910967,-9.253945,13.419801,-9.941899,-2.8127475,-14.498901,-8.135268,-7.7706056,-10.215846,-3.2636602,-7.8696804,-1.8566226,-10.158086,-3.1201818,-5.0209923,-2.2696302,-7.375402,REAL
0.45594853,0.014330757,3086.3362020542795,3451.4066307634407,5734.066831023454,0.07485382795842217,-416.32126,133.45125,-15.054738,31.790266,-9.902761,12.783389,-10.31205,-5.9825697,-15.155384,-8.922997,-9.761721,-12.843019,-3.6437795,-6.9953575,-3.8617113,-10.73738,-3.6490798,-4.974201,-1.5228518,-8.856704,REAL
0.44858003,0.018090377,3019.2151347888016,3323.5642485359676,5584.571561833689,0.0746648662380064,-383.46805,140.75705,-25.9774,24.58838,-21.180252,10.579327,-12.06876,-6.922098,-18.085577,-11.545366,-10.975846,-12.380585,-2.4541326,-7.015801,-2.7705708,-9.496693,-1.0704228,-5.5542502,-3.2474644,-9.585447,REAL
0.43478763,0.019321088,2846.6171320515828,3357.7945153226674,5497.368070362473,0.06375922424706823,-387.23688,146.14069,-25.680304,20.162619,-20.646778,10.12255,-12.203252,-5.325965,-18.330238,-11.98205,-10.764195,-12.608564,-3.0714927,-7.098997,-2.1166782,-9.118836,-1.4447224,-6.0866537,-2.983405,-9.512377,REAL
0.43064177,0.017498089,2714.4271945602304,3422.8067548925014,5289.453957889125,0.0553610990804904,-415.5888,143.83235,-13.700214,24.68954,-8.752665,11.7619295,-10.831596,-4.7077236,-15.836622,-9.964758,-11.119256,-14.440065,-3.7435873,-5.388927,-2.707051,-10.06027,-3.0411563,-5.832583,-2.3348725,-8.233971,REAL
0.4394519,0.01706846,2854.8815179337544,3367.037669358816,5327.933435501066,0.06418503881263327,-413.4633,141.96379,-13.538369,31.438469,-11.6576395,11.391068,-10.591668,-5.293283,-16.939606,-9.68386,-10.856762,-13.908821,-3.325808,-4.813285,-2.056212,-10.599366,-1.8922813,-5.2123737,-2.4606676,-8.605495,REAL
0.41644338,0.018580753,2882.095344918506,3367.647147339376,5325.359808102346,0.06463584005197229,-399.59164,142.10538,-11.893852,35.129314,-14.506517,18.95806,-10.6977215,-10.368122,-19.940277,-8.000231,-8.843486,-12.43172,-3.4708812,-5.02565,0.3241712,-9.903537,-1.4089833,-4.999492,-2.673595,-9.354737,REAL
0.4166221,0.020533437,2802.343577836238,3426.9476029962266,5269.164778784648,0.05926474630197228,-399.6324,141.1991,-10.03708,26.534655,-11.162667,18.60921,-9.559189,-11.841332,-18.32999,-8.432066,-9.145904,-12.4073715,-3.4072313,-5.2279615,-1.0260928,-9.221092,-2.8928423,-4.435155,-3.0278244,-8.476811,REAL
0.43621597,0.020367201,2611.9887569135144,3345.0897171190277,4935.892523987207,0.05339079574227079,-413.63113,147.18193,-10.302455,19.953878,-6.7491755,11.4542465,-9.15109,-8.623075,-17.046753,-10.509945,-9.271356,-13.84938,-2.9385417,-5.6247044,-2.595394,-7.8820076,-3.5096953,-3.6100411,-4.1787105,-6.9900336,REAL
0.4436771,0.018573754,2551.88216730022,3308.5768606176857,4863.5810900852875,0.05118259844749467,-417.4561,152.11368,-14.216671,25.581982,-7.0237174,12.806477,-10.647707,-7.764914,-19.770142,-9.67534,-7.620887,-13.637888,-2.2907798,-5.1478066,-1.045559,-8.599589,-2.6456532,-3.9343975,-4.200982,-7.217178,REAL
0.4816686,0.01468779,2919.9725877155424,3459.9631519729055,5592.092550639659,0.06522094466284648,-424.11694,140.62352,-17.90862,29.628601,-8.178723,16.045443,-7.726746,-6.698719,-18.420576,-7.744614,-7.837623,-12.440713,-2.354815,-6.724928,-2.1017442,-9.890083,-2.8429718,-4.2361827,-2.6137016,-7.5713663,REAL
0.48336852,0.012843654,2975.01130708047,3437.3334274768526,5592.617270788913,0.06907305686966951,-431.94528,137.619,-18.211704,31.575314,-4.9705887,17.319023,-4.882684,-4.8272624,-15.725032,-8.684719,-8.000141,-12.2087965,-3.1934342,-7.9891677,-2.3706908,-8.66523,-3.3752031,-4.0566735,-1.7980536,-6.678245,REAL
0.4553689,0.016663557,2603.1847196049343,3259.8325027676015,4890.16691098081,0.05582699643523454,-422.33408,149.30727,-16.807573,29.199358,-3.935866,13.219399,-5.5377407,-5.8788505,-16.75575,-9.863506,-9.252916,-13.371817,-3.2344482,-4.9414787,-0.6574779,-7.0687337,-3.221465,-4.504201,-0.5694521,-6.0532236,REAL
0.43136135,0.020801483,2589.1259953052477,3237.827315464739,4865.829890724946,0.05602376649120469,-406.82333,150.74783,-14.229481,30.476057,-5.2035193,14.689411,-8.661432,-5.6770306,-18.959183,-9.852078,-10.599481,-15.741259,-3.370783,-5.256811,-1.2266626,-7.955912,-1.9918176,-5.017681,-0.88795197,-6.134872,REAL
0.48550534,0.015001714,4555.667885334278,3878.6552653842073,8542.793843283582,0.12520353728011727,-386.83627,93.27241,-41.98502,35.475063,-23.224567,11.202342,-15.361477,-2.6233056,-14.483061,-6.4852676,-7.2440376,-8.500522,-1.4447474,-8.896613,-1.3934058,-10.240749,-3.4221332,-8.146289,-2.9192796,-10.28097,REAL
0.43558475,0.018831968,4746.828482974686,3852.7561240239315,8701.634128464819,0.13185832139525586,-384.4599,84.44558,-47.05949,44.585064,-25.05176,13.093173,-20.824387,1.743274,-16.260363,-6.5402617,-9.944233,-10.568539,-0.94889754,-13.773095,-1.893795,-12.6871,-5.7370205,-9.878798,-2.2144017,-11.813402,REAL
0.39606035,0.017543124,4606.357692382743,3870.0661700742203,8500.516391257996,0.12258149820095948,-396.53622,87.14895,-40.109863,49.988148,-18.322533,10.404784,-26.232784,3.2775245,-17.633568,-8.230591,-8.452329,-8.332529,0.14120916,-14.253248,-1.6836661,-12.156745,-6.398354,-11.752869,-4.990078,-14.657547,REAL
0.42305896,0.017780077,4292.2785243347635,3885.120696882597,8212.569962686568,0.11002309185101279,-388.82336,93.80288,-29.865055,42.007004,-13.993708,8.857074,-20.242262,1.5192007,-13.826693,-9.307226,-5.0482244,-6.099364,-3.9634385,-11.48208,-1.7545245,-11.28236,-6.275709,-11.348235,-7.4939933,-15.343621,REAL
